year,scenario,CI_level,warming
1757.0,Delayed Transition,0.5,-0.0223794336826433
1757.0,Delayed Transition,0.84,0.0860732828043916
1757.0,Delayed Transition,0.95,0.1705470558912755
1757.0,Delayed Transition,1.0,0.407995810341578
1757.0,Fragmented World,0.0,-0.3639292575862655
1757.0,Fragmented World,0.05,-0.2124784478997798
1757.0,Fragmented World,0.16,-0.1365444648553878
1757.0,Fragmented World,0.5,-0.0223794336826433
1757.0,Fragmented World,0.84,0.0860732828043916
1757.0,Fragmented World,0.95,0.1705470558912755
1757.0,Fragmented World,1.0,0.407995810341578
1757.0,Nationally Determined Contributions (NDCs),0.0,-0.3639292575862655
1757.0,Nationally Determined Contributions (NDCs),0.05,-0.2124784478997798
1757.0,Nationally Determined Contributions (NDCs),0.16,-0.1365444648553878
1757.0,Nationally Determined Contributions (NDCs),0.5,-0.0223794336826433
1757.0,Nationally Determined Contributions (NDCs),0.84,0.0860732828043916
1757.0,Nationally Determined Contributions (NDCs),0.95,0.1705470558912755
1757.0,Nationally Determined Contributions (NDCs),1.0,0.407995810341578
1757.0,Current Policies,0.0,-0.3639292575862655
1757.0,Current Policies,0.05,-0.2124784478997798
1757.0,Current Policies,0.16,-0.1365444648553878
1757.0,Current Policies,0.5,-0.0223794336826433
1757.0,Current Policies,0.84,0.0860732828043916
1757.0,Current Policies,0.95,0.1705470558912755
1757.0,Current Policies,1.0,0.407995810341578
1758.0,Low Demand,0.0,-0.3704331556401362
1758.0,Low Demand,0.05,-0.2048893200350294
1758.0,Low Demand,0.16,-0.1301581222630844
1758.0,Low Demand,0.5,-0.0166623687023288
1758.0,Low Demand,0.84,0.1054098535152653
1758.0,Low Demand,0.95,0.2112760935366662
1758.0,Low Demand,1.0,0.5069026386747153
1758.0,Net Zero 2050,0.0,-0.3704331556401362
1758.0,Net Zero 2050,0.05,-0.2048893200350294
1758.0,Net Zero 2050,0.16,-0.1301581222630844
1758.0,Net Zero 2050,0.5,-0.0166623687023288
1758.0,Net Zero 2050,0.84,0.1054098535152653
1758.0,Net Zero 2050,0.95,0.2112760935366662
1758.0,Net Zero 2050,1.0,0.5069026386747153
1758.0,Below 2°C,0.0,-0.3704331556401362
1758.0,Below 2°C,0.05,-0.2048893200350294
1758.0,Below 2°C,0.16,-0.1301581222630844
1758.0,Below 2°C,0.5,-0.0166623687023288
1758.0,Below 2°C,0.84,0.1054098535152653
1758.0,Below 2°C,0.95,0.2112760935366662
1758.0,Below 2°C,1.0,0.5069026386747153
1758.0,Delayed Transition,0.0,-0.3704331556401362
1758.0,Delayed Transition,0.05,-0.2048893200350294
1758.0,Delayed Transition,0.16,-0.1301581222630844
1758.0,Delayed Transition,0.5,-0.0166623687023288
1758.0,Delayed Transition,0.84,0.1054098535152653
1758.0,Delayed Transition,0.95,0.2112760935366662
1758.0,Delayed Transition,1.0,0.5069026386747153
1758.0,Fragmented World,0.0,-0.3704331556401362
